,Survived,Pclass,Sex,Age,SibSp,Parch,Ravnopravie,Relatives
0,0,3,1,22.0,1,0,0,1
1,1,1,0,38.0,1,0,1,1
2,1,3,0,26.0,0,0,1,0
3,1,1,0,35.0,1,0,1,1
4,0,3,1,35.0,0,0,0,0
5,0,3,1,28.0,0,0,0,0
6,0,1,1,54.0,0,0,0,0
7,0,3,1,2.0,3,1,1,1
8,1,3,0,27.0,0,2,1,1
9,1,2,0,14.0,1,0,1,1
10,1,3,0,4.0,1,1,1,1
11,1,1,0,58.0,0,0,1,0
12,0,3,1,20.0,0,0,0,0
13,0,3,1,39.0,1,5,0,1
14,0,3,0,14.0,0,0,1,0
15,1,2,0,55.0,0,0,1,0
16,0,3,1,2.0,4,1,1,1
17,1,2,1,28.0,0,0,0,0
18,0,3,0,31.0,1,0,1,1
19,1,3,0,28.0,0,0,1,0
20,0,2,1,35.0,0,0,0,0
21,1,2,1,34.0,0,0,0,0
22,1,3,0,15.0,0,0,1,0
23,1,1,1,28.0,0,0,0,0
24,0,3,0,8.0,3,1,1,1
25,1,3,0,38.0,1,5,1,1
26,0,3,1,28.0,0,0,0,0
27,0,1,1,19.0,3,2,0,1
28,1,3,0,28.0,0,0,1,0
29,0,3,1,28.0,0,0,0,0
30,0,1,1,40.0,0,0,0,0
31,1,1,0,28.0,1,0,1,1
32,1,3,0,28.0,0,0,1,0
33,0,2,1,66.0,0,0,0,0
34,0,1,1,28.0,1,0,0,1
35,0,1,1,42.0,1,0,0,1
36,1,3,1,28.0,0,0,0,0
37,0,3,1,21.0,0,0,0,0
38,0,3,0,18.0,2,0,1,1
39,1,3,0,14.0,1,0,1,1
40,0,3,0,40.0,1,0,1,1
41,0,2,0,27.0,1,0,1,1
42,0,3,1,28.0,0,0,0,0
43,1,2,0,3.0,1,2,1,1
44,1,3,0,19.0,0,0,1,0
45,0,3,1,28.0,0,0,0,0
46,0,3,1,28.0,1,0,0,1
47,1,3,0,28.0,0,0,1,0
48,0,3,1,28.0,2,0,0,1
49,0,3,0,18.0,1,0,1,1
50,0,3,1,7.0,4,1,1,1
51,0,3,1,21.0,0,0,0,0
52,1,1,0,49.0,1,0,1,1
53,1,2,0,29.0,1,0,1,1
54,0,1,1,65.0,0,1,0,1
55,1,1,1,28.0,0,0,0,0
56,1,2,0,21.0,0,0,1,0
57,0,3,1,28.5,0,0,0,0
58,1,2,0,5.0,1,2,1,1
59,0,3,1,11.0,5,2,1,1
60,0,3,1,22.0,0,0,0,0
61,1,1,0,38.0,0,0,1,0
62,0,1,1,45.0,1,0,0,1
63,0,3,1,4.0,3,2,1,1
64,0,1,1,28.0,0,0,0,0
65,1,3,1,28.0,1,1,0,1
66,1,2,0,29.0,0,0,1,0
67,0,3,1,19.0,0,0,0,0
68,1,3,0,17.0,4,2,1,1
69,0,3,1,26.0,2,0,0,1
